ปี,เดือน,ปริมาณฝน,จำนวนวันที่ฝนตก,หน่วย
2560,มกราคม,15.1,4,มิลลิเมตร
2560,กุมภาพันธ์,5.4,3,มิลลิเมตร
2560,มีนาคม,140,10,มิลลิเมตร
2560,เมษายน,105.1,11,มิลลิเมตร
2560,พฤษภาคม,413.4,19,มิลลิเมตร
2560,มิถุนายน,274.8,20,มิลลิเมตร
2560,กรกฎาคม,258.2,25,มิลลิเมตร
2560,สิงหาคม,156.3,16,มิลลิเมตร
2560,กันยายน,203.9,15,มิลลิเมตร
2560,ตุลาคม,228.3,15,มิลลิเมตร
2560,พฤศจิกายน,59.4,9,มิลลิเมตร
2560,ธันวาคม,9.5,2,มิลลิเมตร
2561,มกราคม,196.4,7,มิลลิเมตร
2561,กุมภาพันธ์,19.3,4,มิลลิเมตร
2561,มีนาคม,78.1,5,มิลลิเมตร
2561,เมษายน,239.4,12,มิลลิเมตร
2561,พฤษภาคม,342.6,22,มิลลิเมตร
2561,มิถุนายน,116.9,16,มิลลิเมตร
2561,กรกฎาคม,154.4,21,มิลลิเมตร
2561,สิงหาคม,127.4,19,มิลลิเมตร
2561,กันยายน,441.3,18,มิลลิเมตร
2561,ตุลาคม,141,17,มิลลิเมตร
2561,พฤศจิกายน,50.2,6,มิลลิเมตร
2561,ธันวาคม,13.8,2,มิลลิเมตร
2562,กุมภาพันธ์,72.2,4,มิลลิเมตร
2562,มีนาคม,24.9,4,มิลลิเมตร
2562,เมษายน,58.6,10,มิลลิเมตร
2562,พฤษภาคม,128.1,12,มิลลิเมตร
2562,มิถุนายน,99.4,13,มิลลิเมตร
2562,กรกฎาคม,116.9,13,มิลลิเมตร
2562,สิงหาคม,85.9,20,มิลลิเมตร
2562,กันยายน,172.3,16,มิลลิเมตร
2562,ตุลาคม,153.7,13,มิลลิเมตร
2562,พฤศจิกายน,8.5,4,มิลลิเมตร
2563,มกราคม,1.6,1,มิลลิเมตร
2563,กุมภาพันธ์,30.2,2,มิลลิเมตร
2563,มีนาคม,74.3,7,มิลลิเมตร
2563,เมษายน,65.6,9,มิลลิเมตร
2563,พฤษภาคม,147.3,13,มิลลิเมตร
2563,มิถุนายน,181.7,21,มิลลิเมตร
2563,กรกฎาคม,185.2,21,มิลลิเมตร
2563,สิงหาคม,194.7,16,มิลลิเมตร
2563,กันยายน,222.6,21,มิลลิเมตร
2563,ตุลาคม,291.3,16,มิลลิเมตร
2563,พฤศจิกายน,35.6,5,มิลลิเมตร
2564,กุมภาพันธ์,28.7,2,มิลลิเมตร
2564,มีนาคม,95.4,7,มิลลิเมตร
2564,เมษายน,280.1,17,มิลลิเมตร
2564,พฤษภาคม,57.1,11,มิลลิเมตร
2564,มิถุนายน,75.2,18,มิลลิเมตร
2564,กรกฎาคม,192.5,21,มิลลิเมตร
2564,สิงหาคม,188.8,17,มิลลิเมตร
2564,กันยายน,200,22,มิลลิเมตร
2564,ตุลาคม,276.5,19,มิลลิเมตร
2564,พฤศจิกายน,61.2,6,มิลลิเมตร
2564,ธันวาคม,0.1,1,มิลลิเมตร
2565,มกราคม,35.5,2,มิลลิเมตร
2565,กุมภาพันธ์,84.1,10,มิลลิเมตร
2565,มีนาคม,141.6,13,มิลลิเมตร
2565,เมษายน,161,7,มิลลิเมตร
2565,พฤษภาคม,125.2,18,มิลลิเมตร
2565,มิถุนายน,66,11,มิลลิเมตร
2565,กรกฎาคม,273,20,มิลลิเมตร
2565,สิงหาคม,258.7,22,มิลลิเมตร
2565,กันยายน,194.7,20,มิลลิเมตร
2565,ตุลาคม,157,12,มิลลิเมตร
2565,พฤศจิกายน,88.6,11,มิลลิเมตร
2565,ธันวาคม,6.4,2,มิลลิเมตร
